field_1,Name,Hanzi,Polity,location,Latitude,Longitude,field_8,field_9,field_10
,Ai,艾,Qi,"SW of Xintai Co 新泰縣, Shandong",35.77757,117.80172,"Yin 6.2(C), 6.3, 7.3; Huan 15.5",,
,Ailing,艾陵,Qi,"E of Laiwu Co 萊蕪縣, Shandong",36.2546,117.75535,"Ai 11.3(C), 11.3",,
,An (1). .,,Qi,"Near Lixia 歷下, W of Jinan City 濟南市, Shandong.",36.6664499,117.07641,"Cheng 2.3(C), 2.3. See map 2.",,
,An (2). .,,Song,"S of Dingtao Co 定陶縣, Shandong.",35.0709499,115.57298,Ai 14.4.,,
,Anfu . .,安甫,,Unk,40.7011879,-99.1014292,Ding 10.10.,,
,Ao .,敖,,A place along the coast of modern Zhejiang.,30.2655499,120.1536,Ai 19.2.,,
,Ao  (mountain).,敖,Zheng.,"N of Xingyang Co 滎陽縣, Henan.",34.7901604,113.410389,Xuan 12.2.,,
,Ba,巴,"Dom, CN Ji 姬","Near Xiangfan City 襄樊市, Hubei",32.0871799,112.21194,Huan 9.2; Zhao 9.3,,
,Baiquan,百泉,Jin,"NW of Hui Co 輝縣, Henan",35.4621199,113.8054,Ding 14.9,,
,Baiyu,白羽,Xu,"Same place as Xi 析 W of Xixia Co 西峽縣, Henan.",33.235,111.64472,"Zhao 18.5(C), 18.3, 18.7",,
,Bang,玤,Zhou,"Mianchi Co 澠池縣, Henan",34.753175,111.7852765,Zhuang 21.1,,
,Bangao,阪高,Chu,"NE of Dangyang Co 當陽縣, Hubei",30.8211799,111.78833,Wen 16.4,,
,Banquan .,阪泉,,"E of Zhuolu Co 涿鹿縣, Hebei.",40.37907,115.20757,Xi 25.2.,,
,Bao,暴 / Baosui 暴隧,"Zhou, then Zheng","W of Yuanyang Co 原陽縣, Henan",35.052761,113.967907,Wen 8.5(C); Cheng 15.3,,
,Beidian,邶殿,Qi,"NW of Changyi Co 昌邑縣, Shandong",36.9598,119.38951,Xiang 28.11; Zhao 1.2; Ding 1.1,,
,Beilin,北林 / Feilin 棐林,Zheng,"N of Xinzheng Co 新鄭縣, Henan",34.39603,113.73097,"Xuan 1.8, 1.10; Xiang 11.3. Probably the same place as Fei 斐",,
,Beiqiu,貝丘,Qi,"S of Boxing Co 博興縣, Shandong",37.1529899,118.11096,Zhuang 8.3,,
,Beixing,北杏,Qi,"Dong’a Co 東阿縣, Shandong",36.3350299,116.24773,"Zhuang 13.1(C), 13.1, 13.3",,
,Beizheng,北徵,Jin,"P, Chengcheng Co 澄城縣, Shaanxi",35.1902399,109.93226,Wen 10.2,,
,Bend of the Luo (Luorei),羅汭,Chu,"P, at Miluo 汩羅, Hunan",28.9036111,112.9722222,Zhao 5.8,,
,Beng,祊,"Zheng, then Lu","E of Fei Co 費縣, Shandong",35.278287,117.979969,"Yin 8.2(C), 8.2; Huan 1.1, 1.2",,
,Bi,邲,Zheng,"NE of Xingyang Co 滎陽縣, Henan",34.7901604,113.410389,"Xuan 12.3(C), 12.2, 13.4, 14.2; Cheng 2.6, 3.1, 16.5; Zhao 5.4, 5.8",,
,Bi,畢,"Dom, CN Ji 姬","NW of Xi’an City 西安市, Shaanxi",34.2658138,108.9540936,Xi 24.2; Zhao 9.3,,
,Bi,費,Lu,"SW of Yutai Co 魚臺縣, Shandong",34.96956,116.55165,"Xi 1.6; Xiang 7.4(C), 7.3; Zhao 12.1, 13.1(C), 13.1, 14.2, 21.3, 25.6, 31.2, 32.4; Ding 5.4, 12.5(C), 12.2. See map 2",,
,Bian,卞,Lu,"E of Sishui Co 泗水縣, Shandong",35.55034,117.24158,"Xi 17.3(C), 17.4; Xiang 15.4, 29.4; Zhao 25.6",,
,Bihua,費滑,An alternate name for the domain Hua 滑 (see Hua [2]),"The capital of Hua was located at Bi 費, the latter to be distinguished from the place of the same name in Shandong",36.6682599,117.02076,Cheng 13.3; Xiang 18.4,,
,Bipu,比蒲,Lu,Unk,40.7011879,-99.1014292,"Zhao 11.6(C), 11.3; Ding 13.3(C), 14.13",,
,Biyang,偪陽,"Dom, CN Yun 妘, taken by Jin, then given to Song","S of Yi Co 嶧縣, Shandong",36.6682599,117.02076,"Xiang 10.11(C), 10.2",,
,Bo,白,Chu,"P, E of Xi Co 息縣, Henan",32.3428199,114.74024,Ai 16.5,,
,Bo,柏,Dom,"SE of Wuyang Co 舞陽縣, Henan",33.4376499,113.60931,Xi 5.7,,
,Bo,亳,Song,"N of Shangqiu City 商丘市, Henan",34.4142699,115.65635,Zhuang 12.1; Zhao 11.1,,
,Bo,博,Qi,"SE of Taian Co 泰安縣, Shandong",36.1999399,117.0884,Ai 11.3,,
,Bo,薄,Song,"N of Shangqiu City 商丘市, Henan",34.4142699,115.65635,"Xi 21.7(C), 21.3; Ai 14.4",,
,Bocheng,亳城,Zheng,"Near Zhengzhou 鄭州, Henan",34.7472499,113.62493,"Xiang 11.5(C), 11.3",,
,Boju,柏舉,Chu,"NW of Macheng Co 麻城縣, Hubei",31.18199,114.94196,"Ding 4.3, 5.5; Ai 1.1, 1.6. See map 4",,
,Boniu,伯牛,Zheng,Unk,40.7011879,-99.1014292,Cheng 3.1,,
,Boren,柏人,Jin,"Longyao Co 隆堯縣, Hebei",37.3502499,114.77031,"Ai 4.3, 5.1",,
,Brambles Marsh,棘澤,Zheng,"Near Changge Co 長葛縣, S of Xinzheng Co 新鄭縣, Henan",34.2167199,113.76827,Xiang 24.8,,
,Bugeng,不羮,Chu,"Two small regions: East Bugeng is just north of Wuyang Co 舞陽縣, Henan, and West Bugeng is southeast of Xiangcheng Co 襄城縣, Henan",33.4376499,113.60931,"Zhao 11.10, 12.1, 13.2.",,
,Cai,蔡,Dom,"Originally near Shangcai Co 上蔡縣, Henan. Later relocated near modern Xincai Co 新蔡縣, Henan. Moved in 493 Bce to region of Zhoulai 州來, Henan, where it was known as “Lower Cai” 下蔡",32.7492599,114.98571,Yin 4.4(C) et passim. See map 4.,,
,Caisang,采桑,Jin,"W of Xiangning Co 鄉寧縣, Shanxi",35.9708125,110.8472604,Xi 8.2,,
,Cangye,倉野,Jin,"SE of Shang Co 商縣, Shaanxi",33.8627299,109.94107,Ai 4.2,,
,Cao,曹 (1),"Dom, CN Ji 姬","Cap Taoqiu 陶丘 SW of Dingtao Co 定陶縣, ?Shandong. Huan 5.9(C) et passim. Later absorbed by Song.",35.0709499,115.57298,"Ai 14.7(C), 14.9(C), 14.4. See map 2",,
,Cao,曹 (2),Wei,"SW of Hua Co 滑縣, Henan",35.5753399,114.5193,Huan 14.1,,
,Cao,鄵,Zheng,Unk,40.7011879,-99.1014292,"Xiang 7.9(C), 7.8",,
,Chan,闡,Lu,NE of Ningyang Co 寧陽縣,35.7596099,116.80727,"Ai 8.3(C), 8.7(C), 8.3, 8.7, 15.4",,
,Changan,長岸,Chu,"SW of Dangtu Co 當塗縣, Anhui",31.3000711,118.6982059,Zhao 17.6,,
,Changge,長葛,Zheng,"NE of Changge Co 長葛縣, Henan",34.2167199,113.76827,"Also known as Xuge 繻葛. Yin 5.8(C), 5.10, 6.5?",,
,Changjian,昌間,Lu,"In Sishui Co 泗水縣, Shandong",35.55034,117.24158,Zhao 22.3(C),,
,Changqiu,長丘,Song,"S of Fengqiu Co 封丘縣, Henan",35.0411899,114.41861,Wen 11.5.,,
,Changshao,長勺,Lu,"P, N of Qufu Co 曲阜縣, Shandong",35.53986,117.04719,"Zhuang 10.1(C), 10.1",,
,Changyan,昌衍,Lu,"SE of Qufu Co 曲阜縣, Shandong",35.53986,117.04719,Xi 29.1,,
,Changyimi,常儀靡,Ju,"NW of Ju Co 莒縣, Shandong",35.5799699,118.83687,Zhao 1.11,,
,Chanshi,蠶室,Lu,"Pingyi Co 平邑縣, Shandong",35.5058699,117.64048,Ai 8.2,,
,Chanyuan,澶淵,"Wei, then Jin","NW of Puyang Co 濮陽縣, Henan",35.5764999,115.26089,"Xiang 20.2(C), 20.2, 26.5(C), 26.7, 30.9(C), 30.12",,
,Chao,巢 (2),Wei,Unk,40.7011879,-99.1014292,Ai 11.6,,
,Chaojia,朝郟,Song,"Luyi Co 鹿邑縣, Henan",33.8600899,115.48443,Cheng 18.5,,
,Chaoqiu,巢丘,Lu,"P, near Taishan Co 泰山縣, Shandong",36.2558333,117.1055555,Cheng 2.1,,
,Chen,陳,"Dom, CN Gui 媯","Cap Wanqiu 宛丘 in modern Huaiyang Co 淮陽 縣, Henan",33.7314999,114.88614,Yin 3.7 et passim. See map 1,,
,Cheng,成 (also Cheng 郕),Lu,"NE of Ningyang Co 寧陽縣, Shandong",35.7605999,116.80112,"Huan 6.2(C), 6.3; Zhuang 30.2(C); Xiang 15.3(C), 15.4(C), 15.5, 16.8(C), 16.4; Zhao 7.5, 26.4; Ding 8.1, 12.10(C), 12.11(C), 12.2; Ai 14.6, 15.1(C), 15.1, 15.4. See map 4",,
,Cheng,郕,,"Small dom SE of Pu Co 濮縣, Shandong",36.6682599,117.02076,"Yin 5.3(C), 5.6, 10.5(C), 10.4; Zhuang 8.3(C), 8.2; Xi 24.2; Wen 11.6, 12.1.",,
,Chengchu,城鉏,"Song, then Wei","E of Huaxian 滑縣, Henan",35.1839767,114.6571203,"Ai 11.6, 25.1, 26.3",,
,Chengdi,城棣,Zheng,"N of Yuanyang Co 原陽縣, Henan",35.052761,113.967907,Xiang 5.9,,
,Chengfu  (1). .,城父,Chu,"SE of Bo Co 亳縣, Anhui.",31.8615699,117.28565,"Zhao 9.2, 30.3",,
,Chengfu,城父 (2),Chu,"E of Baofeng Co 寶豐縣, Henan",33.8683999,113.05479,"Zhao 19.6; Ai 6.2, 6.4, 16.5",,
,Chenggao,城郜,Song,"Xiao Co 蕭縣, Anhui",34.18835,116.94153,Cheng 18.5,,
,Chengjiu,成臼 (river),Chu,"P, flowed just S of Zhongxiang Co 鍾祥縣, Hubei",31.1679699,112.58817,Ding 5.7,,
,Chengjun,城麇,Zheng,Unk,40.7011879,-99.1014292,Xiang 26.6; Zhao 8.6,,
,Chengkou passes,城口,Chu,"Collective name of the three passes Dasui 大隧, Zhiyuan 直轅, and Ming’e 冥阨",-42.9495392,171.3440155,Ding 4.3,,
,Chengpu  .  ;,城濮.,Wei,"Same as modern Linpu Cheng 臨濮城 in Fan Co 范縣, Shandong.",35.8519299,115.50411,"Zhuang 27.7(C); Xi 28.5(C), 28.3, 28.6; Wen 10.3; Xuan 12.5 Cheng 2.3; Xiang 8.8, 25.10; Zhao 5.4, 5.8. See map 2.",,
,Chengqiu,乘丘,Lu,"Gunzhou Co 衮州縣, Shandong",35.545071,116.776249,"Zhuang 10.4(C), 10.2, 11.1, 11.4",,
,Chengying,城潁,Zheng,"NW of Linying Co 臨潁縣, Henan",33.8296951,113.9674515,Yin 1.4,,
,Chengzhou,成周,Zhou,Eastern cap of Zhou,34.69309733,112.5185348,"E of Loyang City 洛陽市, Henan. Yin 3.3; Zhuang 20.1; Xi 24.2; Xuan 16.2(C), 16.2; Zhao 24.8, 26.7(C), 26.9, 32.5(C), 32.3; Ding 1.1. See map 3",,
,Chenling,辰陵,Chen,"W of Huaiyang Co 淮陽縣, Henan",33.7314999,114.88614,"Xuan 11.2(C), 11.1, 11.6",,
,Chi .,袲,Song.,"Su Co 宿縣, Henan.",34.7657099,113.75322,"Huan 15.10(C), 15.7.",,
,Chi,絺,"Originally Zhou, then Zheng and Jin","P, SW of Qinyang Co 沁陽縣, Henan",35.0875999,112.9506,Yin 11.5,,
,Chiji,赤棘,Jin,Unk,40.7011879,-99.1014292,"Cheng 1.5(C), 1.3, 12.4",,
,Chong,重,Lu,"NW of Yutai Co 魚臺縣, Shandong",34.96956,116.55165,Xi 31.1,,
,Chong,崇,"Small dom, later Wei","E of Hu Co 戶縣, Shaanxi",34.1084699,108.60494,Xi 19.5; Xiang 31.13,,
,Chong,蟲,Zhu,"Jining Co 濟寧縣, Shandong",35.35158,116.53727,"Zhao 19.3, 19.5",,
,Chonglao,蟲牢,Zheng,"N of Fengqiu Co 封丘縣, Henan",35.0411899,114.41861,"Cheng 5.7(C), 5.7, 7.4; Xiang 18.4; Ding 8.8",,
,Chongqiu,重丘 (1),Qi,Unk,40.7011879,-99.1014292,"Xiang 25.5(C), 25.6, 28.2",,
