ogc_fid,field_1,name,hanzi,polity,location,latitude,longitude,entries,field_9,field_10,GEOMETRY,years
1,,Ai,艾,Qi,"SW of Xintai Co 新泰縣, Shandong",35.77757,117.80172,"Yin 6.2(C), 6.3, 7.3; Huan 15.5",,,"b'\x00\x01\xe6\x10\x00\x00%#gaOs]@\xe4,\xeci\x87\xe3A@%#gaOs]@\xe4,\xeci\x87\xe3A@|\x01\x00\x00\x00%#gaOs]@\xe4,\xeci\x87\xe3A@\xfe'",",695,716,716,715"
2,,Ailing,艾陵,Qi,"E of Laiwu Co 萊蕪縣, Shandong",36.2546,117.75535,"Ai 11.3(C), 11.3",,,"b""\x00\x01\xe6\x10\x00\x00'\xc2\x86\xa7Wp]@\xe3\xc7\x98\xbb\x96 B@'\xc2\x86\xa7Wp]@\xe3\xc7\x98\xbb\x96 B@|\x01\x00\x00\x00'\xc2\x86\xa7Wp]@\xe3\xc7\x98\xbb\x96 B@\xfe""","483,483"
3,,An (1). .,,Qi,"Near Lixia 歷下, W of Jinan City 濟南市, Shandong.",36.6664499,117.07641,"Cheng 2.3(C), 2.3. See map 2.",,,b'\x00\x01\xe6\x10\x00\x00\x97\xc5\xc4\xe6\xe3D]@\x14v\xf6:NUB@\x97\xc5\xc4\xe6\xe3D]@\x14v\xf6:NUB@|\x01\x00\x00\x00\x97\xc5\xc4\xe6\xe3D]@\x14v\xf6:NUB@\xfe',"587,587"
4,,An (2). .,,Song,"S of Dingtao Co 定陶縣, Shandong.",35.0709499,115.57298,Ai 14.4.,,,b'\x00\x01\xe6\x10\x00\x00\xc6PN\xb4\xab\xe4\\@\xc6\x13\xe6\xe2\x14\x89A@\xc6PN\xb4\xab\xe4\\@\xc6\x13\xe6\xe2\x14\x89A@|\x01\x00\x00\x00\xc6PN\xb4\xab\xe4\\@\xc6\x13\xe6\xe2\x14\x89A@\xfe',480
5,,Anfu . .,安甫,,Unk,40.7011879,-99.1014292,Ding 10.10.,,,b'\x00\x01\xe6\x10\x00\x00\x017\xe6\xd0}\xc6X\xc0\xeblm\x86\xc0YD@\x017\xe6\xd0}\xc6X\xc0\xeblm\x86\xc0YD@|\x01\x00\x00\x00\x017\xe6\xd0}\xc6X\xc0\xeblm\x86\xc0YD@\xfe',498
6,,Ao .,敖,,A place along the coast of modern Zhejiang.,30.2655499,120.1536,Ai 19.2.,,,b'\x00\x01\xe6\x10\x00\x00\x99*\x18\x95\xd4\t^@\xc1\xf4\x07\x14\xfbC>@\x99*\x18\x95\xd4\t^@\xc1\xf4\x07\x14\xfbC>@|\x01\x00\x00\x00\x99*\x18\x95\xd4\t^@\xc1\xf4\x07\x14\xfbC>@\xfe',475
7,,Ao  (mountain).,敖,Zheng.,"N of Xingyang Co 滎陽縣, Henan.",34.7901604,113.410389,Xuan 12.2.,,,b'\x00\x01\xe6\x10\x00\x00\xd7h9\xd0CZ\\@\x11L\xda\xf9#eA@\xd7h9\xd0CZ\\@\x11L\xda\xf9#eA@|\x01\x00\x00\x00\xd7h9\xd0CZ\\@\x11L\xda\xf9#eA@\xfe',595
8,,Ba,巴,"Dom, CN Ji 姬","Near Xiangfan City 襄樊市, Hubei",32.0871799,112.21194,Huan 9.2; Zhao 9.3,,,b'\x00\x01\xe6\x10\x00\x00\xb6-\xcal\x90\r\\@-\xaf\x01\xb6(\x0b@@\xb6-\xcal\x90\r\\@-\xaf\x01\xb6(\x0b@@|\x01\x00\x00\x00\xb6-\xcal\x90\r\\@-\xaf\x01\xb6(\x0b@@\xfe',"531,701"
9,,Baiquan,百泉,Jin,"NW of Hui Co 輝縣, Henan",35.4621199,113.8054,Ding 14.9,,,b'\x00\x01\xe6\x10\x00\x00\xb3\x0cq\xac\x8bs\\@W\xaa\xb0\xbe&\xbbA@\xb3\x0cq\xac\x8bs\\@W\xaa\xb0\xbe&\xbbA@|\x01\x00\x00\x00\xb3\x0cq\xac\x8bs\\@W\xaa\xb0\xbe&\xbbA@\xfe',494
10,,Baiyu,白羽,Xu,"Same place as Xi 析 W of Xixia Co 西峽縣, Henan.",33.235,111.64472,"Zhao 18.5(C), 18.3, 18.7",,,b'\x00\x01\xe6\x10\x00\x00\xf0\xc4\xac\x17C\xe9[@\xaeG\xe1z\x14\x9e@@\xf0\xc4\xac\x17C\xe9[@\xaeG\xe1z\x14\x9e@@|\x01\x00\x00\x00\xf0\xc4\xac\x17C\xe9[@\xaeG\xe1z\x14\x9e@@\xfe',"522,522,522"
