field_1,Name,Hanzi,Polity,location,Latitude,Longitude,field_8,field_9,field_10
,Ai,?,Qi,"SW of Xintai Co ???, Shandong",35.77757,117.80172,"Yin 6.2(C), 6.3, 7.3; Huan 15.5",,
,Ailing,??,Qi,"E of Laiwu Co ???, Shandong",36.2546,117.75535,"Ai 11.3(C), 11.3",,
,An (1). .,,Qi,"Near Lixia ??, W of Jinan City ???, Shandong.",36.6664499,117.07641,"Cheng 2.3(C), 2.3. See map 2.",,
,An (2). .,,Song,"S of Dingtao Co ???, Shandong.",35.0709499,115.57298,Ai 14.4.,,
,Anfu . .,??,,Unk,40.7011879,-99.1014292,Ding 10.10.,,
,Ao .,?,,A place along the coast of modern Zhejiang.,30.2655499,120.1536,Ai 19.2.,,
,Ao  (mountain).,?,Zheng.,"N of Xingyang Co ???, Henan.",34.7901604,113.410389,Xuan 12.2.,,
,Ba,?,"Dom, CN Ji ?","Near Xiangfan City ???, Hubei",32.0871799,112.21194,Huan 9.2; Zhao 9.3,,
,Baiquan,??,Jin,"NW of Hui Co ??, Henan",35.4621199,113.8054,Ding 14.9,,
,Baiyu,??,Xu,"Same place as Xi ? W of Xixia Co ???, Henan.",33.235,111.64472,"Zhao 18.5(C), 18.3, 18.7",,
,Bang,?,Zhou,"Mianchi Co ???, Henan",34.753175,111.7852765,Zhuang 21.1,,
,Bangao,??,Chu,"NE of Dangyang Co ???, Hubei",30.8211799,111.78833,Wen 16.4,,
,Banquan .,??,,"E of Zhuolu Co ???, Hebei.",40.37907,115.20757,Xi 25.2.,,
,Bao,? / Baosui ??,"Zhou, then Zheng","W of Yuanyang Co ???, Henan",35.052761,113.967907,Wen 8.5(C); Cheng 15.3,,
,Beidian,??,Qi,"NW of Changyi Co ???, Shandong",36.9598,119.38951,Xiang 28.11; Zhao 1.2; Ding 1.1,,
,Beilin,?? / Feilin ??,Zheng,"N of Xinzheng Co ???, Henan",34.39603,113.73097,"Xuan 1.8, 1.10; Xiang 11.3. Probably the same place as Fei ?",,
,Beiqiu,??,Qi,"S of Boxing Co ???, Shandong",37.1529899,118.11096,Zhuang 8.3,,
,Beixing,??,Qi,"Dong’a Co ???, Shandong",36.3350299,116.24773,"Zhuang 13.1(C), 13.1, 13.3",,
,Beizheng,??,Jin,"P, Chengcheng Co ???, Shaanxi",35.1902399,109.93226,Wen 10.2,,
,Bend of the Luo (Luorei),??,Chu,"P, at Miluo ??, Hunan",28.9036111,112.9722222,Zhao 5.8,,
,Beng,?,"Zheng, then Lu","E of Fei Co ??, Shandong",35.278287,117.979969,"Yin 8.2(C), 8.2; Huan 1.1, 1.2",,
,Bi,?,Zheng,"NE of Xingyang Co ???, Henan",34.7901604,113.410389,"Xuan 12.3(C), 12.2, 13.4, 14.2; Cheng 2.6, 3.1, 16.5; Zhao 5.4, 5.8",,
,Bi,?,"Dom, CN Ji ?","NW of Xi’an City ???, Shaanxi",34.2658138,108.9540936,Xi 24.2; Zhao 9.3,,
,Bi,?,Lu,"SW of Yutai Co ???, Shandong",34.96956,116.55165,"Xi 1.6; Xiang 7.4(C), 7.3; Zhao 12.1, 13.1(C), 13.1, 14.2, 21.3, 25.6, 31.2, 32.4; Ding 5.4, 12.5(C), 12.2. See map 2",,
,Bian,?,Lu,"E of Sishui Co ???, Shandong",35.55034,117.24158,"Xi 17.3(C), 17.4; Xiang 15.4, 29.4; Zhao 25.6",,
,Bihua,??,An alternate name for the domain Hua ? (see Hua [2]),"The capital of Hua was located at Bi ?, the latter to be distinguished from the place of the same name in Shandong",36.6682599,117.02076,Cheng 13.3; Xiang 18.4,,
,Bipu,??,Lu,Unk,40.7011879,-99.1014292,"Zhao 11.6(C), 11.3; Ding 13.3(C), 14.13",,
,Biyang,??,"Dom, CN Yun ?, taken by Jin, then given to Song","S of Yi Co ??, Shandong",36.6682599,117.02076,"Xiang 10.11(C), 10.2",,
,Bo,?,Chu,"P, E of Xi Co ??, Henan",32.3428199,114.74024,Ai 16.5,,
,Bo,?,Dom,"SE of Wuyang Co ???, Henan",33.4376499,113.60931,Xi 5.7,,
,Bo,?,Song,"N of Shangqiu City ???, Henan",34.4142699,115.65635,Zhuang 12.1; Zhao 11.1,,
,Bo,?,Qi,"SE of Taian Co ???, Shandong",36.1999399,117.0884,Ai 11.3,,
,Bo,?,Song,"N of Shangqiu City ???, Henan",34.4142699,115.65635,"Xi 21.7(C), 21.3; Ai 14.4",,
,Bocheng,??,Zheng,"Near Zhengzhou ??, Henan",34.7472499,113.62493,"Xiang 11.5(C), 11.3",,
,Boju,??,Chu,"NW of Macheng Co ???, Hubei",31.18199,114.94196,"Ding 4.3, 5.5; Ai 1.1, 1.6. See map 4",,
,Boniu,??,Zheng,Unk,40.7011879,-99.1014292,Cheng 3.1,,
,Boren,??,Jin,"Longyao Co ???, Hebei",37.3502499,114.77031,"Ai 4.3, 5.1",,
,Brambles Marsh,??,Zheng,"Near Changge Co ???, S of Xinzheng Co ???, Henan",34.2167199,113.76827,Xiang 24.8,,
,Bugeng,??,Chu,"Two small regions: East Bugeng is just north of Wuyang Co ???, Henan, and West Bugeng is southeast of Xiangcheng Co ???, Henan",33.4376499,113.60931,"Zhao 11.10, 12.1, 13.2.",,
,Cai,?,Dom,"Originally near Shangcai Co ???, Henan. Later relocated near modern Xincai Co ???, Henan. Moved in 493 Bce to region of Zhoulai ??, Henan, where it was known as “Lower Cai” ??",32.7492599,114.98571,Yin 4.4(C) et passim. See map 4.,,
,Caisang,??,Jin,"W of Xiangning Co ???, Shanxi",35.9708125,110.8472604,Xi 8.2,,
,Cangye,??,Jin,"SE of Shang Co ??, Shaanxi",33.8627299,109.94107,Ai 4.2,,
,Cao,? (1),"Dom, CN Ji ?","Cap Taoqiu ?? SW of Dingtao Co ???, ­Shandong. Huan 5.9(C) et passim. Later absorbed by Song.",35.0709499,115.57298,"Ai 14.7(C), 14.9(C), 14.4. See map 2",,
,Cao,? (2),Wei,"SW of Hua Co ??, Henan",35.5753399,114.5193,Huan 14.1,,
,Cao,?,Zheng,Unk,40.7011879,-99.1014292,"Xiang 7.9(C), 7.8",,
,Chan,?,Lu,NE of Ningyang Co ???,35.7596099,116.80727,"Ai 8.3(C), 8.7(C), 8.3, 8.7, 15.4",,
,Changan,??,Chu,"SW of Dangtu Co ???, Anhui",31.3000711,118.6982059,Zhao 17.6,,
